mod_num,time_to_create,n_yes_train,n_no_train,n_yes_test,n_no_test,ntrees,max_depth,min_rows,distribution,learn_rate,learn_rate_annealing,min_split_improvement,sample_rate,nbins,col_sample_rate_per_tree,histogram_type,gini,auc,threshold_max_f1,sensitivity_max_f1,specificity_max_f1,precision_max_f1,accuracy_max_f1,threshold_98_specificity,sensitivity_98_specificity,specificity_98_specificity,precision_98_specificity,accuracy_98_specificity
59,3.3100000000013097,83,233,33,67,100,3,1,bernoulli,0.01,0.5,1e-4,0.632,4,0.8,RoundRobin,0.8783287657066032,0.9391643828533016,0.259190619840741,0.8787878787878788,0.7014925373134329,0.5918367346938775,0.76,0.2727681260440684,0.3333333333333333,0.9850746268656716,0.9166666666666666,0.77
60,3,83,233,33,67,300,3,1,bernoulli,0.01,0.5,1e-4,0.632,4,0.8,RoundRobin,0.8783287657066032,0.9391643828533016,0.259190619840741,0.8787878787878788,0.7014925373134329,0.5918367346938775,0.76,0.2727681260440684,0.3333333333333333,0.9850746268656716,0.9166666666666666,0.77
61,3.210000000000946,83,233,33,67,100,7,1,bernoulli,0.01,0.5,1e-4,0.632,4,0.8,RoundRobin,0.9870727545374631,0.9935363772687316,0.254739406107332,0.8787878787878788,0.6716417910447762,0.5686274509803921,0.74,0.27892927528992095,0.36363636363636365,0.9850746268656716,0.9230769230769231,0.78
62,3.25,83,233,33,67,300,7,1,bernoulli,0.01,0.5,1e-4,0.632,4,0.8,RoundRobin,0.9870727545374631,0.9935363772687316,0.254739406107332,0.8787878787878788,0.6716417910447762,0.5686274509803921,0.74,0.27892927528992095,0.36363636363636365,0.9850746268656716,0.9230769230769231,0.78
63,3.2600000000002183,83,233,33,67,100,10,1,bernoulli,0.01,0.5,1e-4,0.632,4,0.8,RoundRobin,0.9908992191943742,0.9954496095971871,0.256942662461152,0.7878787878787878,0.7761194029850746,0.6341463414634146,0.78,0.2820392076842284,0.36363636363636365,0.9850746268656716,0.9230769230769231,0.78
64,3.3700000000008004,83,233,33,67,300,10,1,bernoulli,0.01,0.5,1e-4,0.632,4,0.8,RoundRobin,0.9908992191943742,0.9954496095971871,0.256942662461152,0.7878787878787878,0.7761194029850746,0.6341463414634146,0.78,0.2820392076842284,0.36363636363636365,0.9850746268656716,0.9230769230769231,0.78
65,1.819999999999709,83,233,33,67,100,1,1,bernoulli,0.001,0.5,1e-4,0.632,4,0.8,RoundRobin,0.6437768240343347,0.8218884120171673,0.262818814136134,0.6363636363636364,0.7164179104477612,0.525,0.69,Inf,0.45454545454545453,0.8805970149253731,0.6521739130434783,0.74
66,1.8000000000010914,83,233,33,67,300,1,1,bernoulli,0.001,0.5,1e-4,0.632,4,0.8,RoundRobin,0.6437768240343347,0.8218884120171673,0.262818814136134,0.6363636363636364,0.7164179104477612,0.525,0.69,Inf,0.45454545454545453,0.8805970149253731,0.6521739130434783,0.74
67,1.9600000000009459,83,233,33,67,100,3,1,bernoulli,0.001,0.5,1e-4,0.632,4,0.8,RoundRobin,0.8787424375614044,0.9393712187807022,0.262140476790799,0.9696969696969697,0.6268656716417911,0.5614035087719298,0.74,0.26370843409595185,0.3333333333333333,0.9850746268656716,0.9166666666666666,0.77
68,1.9200000000000728,83,233,33,67,300,3,1,bernoulli,0.001,0.5,1e-4,0.632,4,0.8,RoundRobin,0.8787424375614044,0.9393712187807022,0.262140476790799,0.9696969696969697,0.6268656716417911,0.5614035087719298,0.74,0.26370843409595185,0.3333333333333333,0.9850746268656716,0.9166666666666666,0.77
69,3.149999999999636,83,233,33,67,100,7,1,bernoulli,0.001,0.5,1e-4,0.632,4,0.8,RoundRobin,0.9863488287915609,0.9931744143957805,0.262623152975018,0.6060606060606061,0.8805970149253731,0.7142857142857143,0.79,0.2642889045007698,0.3939393939393939,0.9850746268656716,0.9285714285714286,0.79
70,3.149999999999636,83,233,33,67,300,7,1,bernoulli,0.001,0.5,1e-4,0.632,4,0.8,RoundRobin,0.9863488287915609,0.9931744143957805,0.262623152975018,0.6060606060606061,0.8805970149253731,0.7142857142857143,0.79,0.2642889045007698,0.3939393939393939,0.9850746268656716,0.9285714285714286,0.79
71,3.1700000000000728,83,233,33,67,100,10,1,bernoulli,0.001,0.5,1e-4,0.632,4,0.8,RoundRobin,0.9897616215936709,0.9948808107968354,0.261733649294372,0.8484848484848485,0.6865671641791045,0.5714285714285714,0.74,0.26436704480049994,0.3939393939393939,0.9850746268656716,0.9285714285714286,0.79
72,3.139999999999418,83,233,33,67,300,10,1,bernoulli,0.001,0.5,1e-4,0.632,4,0.8,RoundRobin,0.9897616215936709,0.9948808107968354,0.261733649294372,0.8484848484848485,0.6865671641791045,0.5714285714285714,0.74,0.26436704480049994,0.3939393939393939,0.9850746268656716,0.9285714285714286,0.79
