mod_num,time_to_create,n_yes_train,n_no_train,n_yes_test,n_no_test,ntrees,max_depth,min_rows,mtries,min_split_improvement,sample_rate,nbins,binomial_double_trees,seed,balance_classes,col_sample_rate_per_tree,gini,auc,threshold_max_f1,sensitivity_max_f1,specificity_max_f1,precision_max_f1,accuracy_max_f1,threshold_98_specificity,sensitivity_98_specificity,specificity_98_specificity,precision_98_specificity,accuracy_98_specificity
60,6.4090000000001055,317,340,108.99999999999999,100,100,20,1,7,1e-4,0.632,20,TRUE,16,TRUE,0.8,0.8929105746344781,0.946455287317239,0.438345457824806,0.9174311926605505,0.86,0.8771929824561403,0.8899521531100478,0.7565169501896952,0.48623853211009177,0.99,0.9814814814814815,0.7272727272727273
61,2.3510000000001128,317,340,108.99999999999999,100,50,3,1,4,0.001,0.632,20,TRUE,16,TRUE,0.8,0.5857361441686502,0.7928680720843251,0.412549379490953,0.8348623853211009,0.68,0.7398373983739838,0.7607655502392344,0.6626223002564624,0.24770642201834864,0.99,0.9642857142857143,0.6028708133971292
62,4.403000000000247,317,340,108.99999999999999,100,100,3,1,4,0.001,0.632,20,TRUE,16,TRUE,0.8,0.6131502890173413,0.8065751445086706,0.409752470941904,0.8623853211009175,0.68,0.746031746031746,0.7751196172248804,0.6628689375355247,0.1926605504587156,0.99,0.9545454545454546,0.5741626794258373
63,2.3479999999999563,317,340,108.99999999999999,100,50,7,1,4,0.001,0.632,20,TRUE,16,TRUE,0.8,0.8027371642298538,0.9013685821149269,0.44479668504349,0.8715596330275229,0.87,0.8796296296296297,0.8708133971291866,0.6915746084912108,0.48623853211009177,0.99,0.9814814814814815,0.7272727272727273
64,5.41399999999976,317,340,108.99999999999999,100,100,7,1,4,0.001,0.632,20,TRUE,16,TRUE,0.8,0.8102176130567835,0.9051088065283918,0.435582738933563,0.8715596330275229,0.85,0.8636363636363636,0.861244019138756,0.7271830862851661,0.3761467889908257,0.99,0.9761904761904762,0.6698564593301436
65,3.4039999999999964,317,340,108.99999999999999,100,50,10,1,4,0.001,0.632,20,TRUE,16,TRUE,0.8,0.8450952057123429,0.9225476028561714,0.429805334261746,0.908256880733945,0.87,0.8839285714285714,0.8899521531100478,0.7392412424280821,0.46788990825688076,0.99,0.9807692307692307,0.7177033492822966
66,5.385999999999967,317,340,108.99999999999999,100,100,10,1,4,0.001,0.632,20,TRUE,16,TRUE,0.8,0.8587555253315198,0.9293777626657599,0.493510165938364,0.8807339449541285,0.89,0.897196261682243,0.8851674641148325,0.7363258440065017,0.46788990825688076,0.99,0.9807692307692307,0.7177033492822966
67,3.3980000000001382,317,340,108.99999999999999,100,50,15,1,4,0.001,0.632,20,TRUE,16,TRUE,0.8,0.8705882352941177,0.9352941176470588,0.418882371146243,0.9357798165137615,0.84,0.864406779661017,0.8899521531100478,0.7786125615834032,0.44036697247706424,0.99,0.9795918367346939,0.7033492822966507
68,5.3840000000000146,317,340,108.99999999999999,100,100,15,1,4,0.001,0.632,20,TRUE,16,TRUE,0.8,0.8803468208092484,0.9401734104046242,0.508151105465324,0.8899082568807339,0.9,0.9065420560747663,0.8947368421052632,0.7717020249631863,0.42201834862385323,0.99,0.9787234042553191,0.69377990430622
69,3.35799999999972,317,340,108.99999999999999,100,50,20,1,4,0.001,0.632,20,TRUE,16,TRUE,0.8,0.8731893913634818,0.9365946956817409,0.40728051391863,0.9357798165137615,0.84,0.864406779661017,0.8899521531100478,0.7856257744733581,0.43119266055045874,0.99,0.9791666666666666,0.6985645933014354
70,5.389000000000124,317,340,108.99999999999999,100,100,20,1,4,0.001,0.632,20,TRUE,16,TRUE,0.8,0.8823954437266235,0.9411977218633117,0.508151105465324,0.8899082568807339,0.9,0.9065420560747663,0.8947368421052632,0.7717020249631863,0.42201834862385323,0.99,0.9787234042553191,0.69377990430622
